geneId	symbol
ENSMUSG00000108635.1	Gm44633
ENSMUSG00000015937.14	H2afy
ENSMUSG00000093610.7	Cyp2c53-ps
ENSMUSG00000028444.17	Cntfr
ENSMUSG00000079286.1	Gm11084
ENSMUSG00000103249.1	Gm38088
ENSMUSG00000098143.1	Gm26937
ENSMUSG00000028427.13	Aqp7
ENSMUSG00000075092.2	Olfr1232
ENSMUSG00000107771.1	Gm8956
ENSMUSG00000008575.17	Nfib
ENSMUSG00000101816.1	Gm29659
ENSMUSG00000002602.16	Axl
ENSMUSG00000108629.1	Gm44720
ENSMUSG00000027806.9	Tsc22d2
ENSMUSG00000086980.1	Gm13791
ENSMUSG00000105862.1	Igkv3-12-1
ENSMUSG00000074398.5	Gm15441
ENSMUSG00000045746.3	B230317F23Rik
ENSMUSG00000088000.1	Gm25493
ENSMUSG00000021707.4	Dhfr
ENSMUSG00000112780.1	RP23-176M4.3
ENSMUSG00000100789.6	Gm29508
ENSMUSG00000100811.1	Gm29083
ENSMUSG00000098847.1	Gm27235
ENSMUSG00000085020.1	2310081O03Rik
ENSMUSG00000027219.13	Slc28a2
ENSMUSG00000083373.1	Gm13392
ENSMUSG00000030411.16	Nova2
ENSMUSG00000112219.1	RP23-187C5.3
ENSMUSG00000057499.3	Gm6177
ENSMUSG00000111002.1	RP23-192H2.5
ENSMUSG00000039714.9	Cplx3
ENSMUSG00000088532.1	Gm22706
ENSMUSG00000105854.1	Gm8925
ENSMUSG00000039233.12	Tbce
ENSMUSG00000021973.8	Micu2
ENSMUSG00000016524.12	Il19
ENSMUSG00000096047.1	n-R5s211
ENSMUSG00000027985.14	Lef1
ENSMUSG00000095410.1	n-R5s121
ENSMUSG00000085770.1	Gm11381
ENSMUSG00000099461.6	Gm28521
ENSMUSG00000112205.1	RP23-434A12.1
ENSMUSG00000100500.1	Gm29080
ENSMUSG00000096515.5	Igkv14-100
ENSMUSG00000093498.1	Mir5615-2
ENSMUSG00000109655.1	Gm29735
ENSMUSG00000097123.1	Gm6297
ENSMUSG00000092677.1	Mir5106
ENSMUSG00000105873.1	Gm43708
ENSMUSG00000031509.10	1700016D06Rik
ENSMUSG00000104853.2	Olfr375-ps1
ENSMUSG00000052920.14	Prkg1
ENSMUSG00000109776.1	Gm45414
ENSMUSG00000082797.3	Gm12015
ENSMUSG00000038811.13	Gngt2
ENSMUSG00000089312.1	Gm22257
ENSMUSG00000104269.1	Gm37749
ENSMUSG00000040231.16	Syngr4
ENSMUSG00000082024.1	Gm11794
ENSMUSG00000042816.3	Gpr151
ENSMUSG00000089504.1	Gm23475
ENSMUSG00000110734.1	RP23-47P24.1
ENSMUSG00000057359.7	Gm17494
ENSMUSG00000070639.5	Lrrc8b
ENSMUSG00000104843.1	Gm5308
ENSMUSG00000021790.12	Dydc1
ENSMUSG00000103472.1	Pcdhga7
ENSMUSG00000033409.14	Syce1l
ENSMUSG00000093138.1	Gm25998
ENSMUSG00000025422.9	Agap2
ENSMUSG00000092718.1	Gm22860
ENSMUSG00000068267.5	Cenpb
ENSMUSG00000093404.1	Gm25190
ENSMUSG00000098389.1	Mir6983
ENSMUSG00000058838.9	Rps27a-ps2
ENSMUSG00000109020.2	Olfr197
ENSMUSG00000021796.14	Bmpr1a
ENSMUSG00000065331.1	Gm24927
ENSMUSG00000022765.8	Snap29
ENSMUSG00000100308.1	Gm29410
ENSMUSG00000110047.1	A230085B16Rik
ENSMUSG00000102314.1	Gm37630
ENSMUSG00000081223.1	Gm12247
ENSMUSG00000093472.1	4930438E09Rik
ENSMUSG00000068647.2	Olfr1278
ENSMUSG00000076598.3	Igkv3-7
ENSMUSG00000108714.1	Gm21057
ENSMUSG00000082436.1	Gm11688
ENSMUSG00000099778.1	Gm28134
ENSMUSG00000026009.14	Icos
ENSMUSG00000030417.15	Pdcd5
ENSMUSG00000043110.2	Lrrn4
ENSMUSG00000018669.14	Cdk5rap3
ENSMUSG00000097133.1	Gm26628
ENSMUSG00000098946.1	Gm27636
ENSMUSG00000086630.1	Gm14397
ENSMUSG00000090449.1	Gm17076
ENSMUSG00000081233.1	Gm12857
ENSMUSG00000081918.4	Gm14613
ENSMUSG00000076485.2	Trbj1-3
ENSMUSG00000023806.9	Rsph3b
ENSMUSG00000110186.1	Gm7789
ENSMUSG00000079679.3	Vwde
ENSMUSG00000107193.1	Gm43700
ENSMUSG00000062704.3	9430002A10Rik
ENSMUSG00000101634.6	1700066B17Rik
ENSMUSG00000085433.2	Gm16001
ENSMUSG00000106291.1	1110003F10Rik
ENSMUSG00000096539.1	Gm7438
ENSMUSG00000098594.1	Gm27628
ENSMUSG00000083818.1	Gm14908
ENSMUSG00000100891.1	2810049E08Rik
ENSMUSG00000084275.3	Gm5396
ENSMUSG00000110601.1	Gm45834
ENSMUSG00000107406.1	1700040L08Rik
ENSMUSG00000020546.14	Stxbp4
ENSMUSG00000090455.2	Gm2431
ENSMUSG00000108615.1	Gm4973
ENSMUSG00000026761.12	Orc4
ENSMUSG00000099350.1	Gm29623
ENSMUSG00000067928.6	Zfp760
ENSMUSG00000111082.1	RP23-23P9.5
ENSMUSG00000106285.1	Gm43574
ENSMUSG00000107183.1	Gm18452
ENSMUSG00000096010.2	Hist4h4
ENSMUSG00000040613.14	Apobec1
ENSMUSG00000060376.7	Bckdha
ENSMUSG00000078444.3	Gm10941
ENSMUSG00000080979.3	Gm13675
ENSMUSG00000100426.1	Gm4208
ENSMUSG00000105924.1	Gm44359
ENSMUSG00000020940.13	1700023F06Rik
ENSMUSG00000060147.15	Serpinb6a
ENSMUSG00000027244.14	Atg13
ENSMUSG00000028647.13	Mycbp
ENSMUSG00000049823.9	Zbtb12
ENSMUSG00000112390.1	RP24-345F16.1
ENSMUSG00000037313.16	Tacc3
ENSMUSG00000065760.1	Gm23848
ENSMUSG00000089932.1	Gm16114
ENSMUSG00000110714.1	Gm45910
ENSMUSG00000087233.1	Gm43213
ENSMUSG00000109541.1	Gm6112
ENSMUSG00000032952.11	Ap4b1
ENSMUSG00000030744.13	Rps3
ENSMUSG00000088889.1	Gm24211
ENSMUSG00000088494.1	Gm24399
ENSMUSG00000095820.1	Gm15098
ENSMUSG00000087201.1	Gm15261
ENSMUSG00000094916.1	Gm26391
ENSMUSG00000084466.1	Gm22960
ENSMUSG00000037275.14	Gemin5
ENSMUSG00000089762.3	Ier5l
ENSMUSG00000091967.4	Vmn2r-ps5
ENSMUSG00000056423.7	Uts2b
ENSMUSG00000098183.1	Gm27010
ENSMUSG00000037525.4	Bcdin3d
ENSMUSG00000071192.5	Wfikkn1
ENSMUSG00000023279.7	Bmp15
ENSMUSG00000086573.1	Gm15384
ENSMUSG00000108139.1	Gm44055
ENSMUSG00000028645.11	Slc2a1
ENSMUSG00000018648.15	Dusp14
ENSMUSG00000025176.14	Hoga1
ENSMUSG00000032551.7	1110059G10Rik
ENSMUSG00000097566.1	A930024N18Rik
ENSMUSG00000094095.1	Gm25648
ENSMUSG00000105910.1	Gm43539
ENSMUSG00000005893.14	Nr2c2
ENSMUSG00000084458.1	Mir1907
ENSMUSG00000109248.1	Gm44993
ENSMUSG00000099399.6	Gm28301
ENSMUSG00000050623.4	Tex40
ENSMUSG00000024570.6	Rbfa
ENSMUSG00000108681.1	Gm17825
ENSMUSG00000064669.1	Gm24461
ENSMUSG00000100160.1	Gm28527
ENSMUSG00000082151.3	Gm11810
ENSMUSG00000089479.1	Gm25362
ENSMUSG00000073411.11	H2-D1
ENSMUSG00000082092.1	Gm14665
ENSMUSG00000099184.1	Mir6337
ENSMUSG00000109395.1	Gm45199
ENSMUSG00000029726.16	Mepce
ENSMUSG00000013465.18	Nelfb
ENSMUSG00000091306.2	Gm17606
ENSMUSG00000089349.1	Gm22670
ENSMUSG00000024770.14	Lipn
ENSMUSG00000108986.1	Gm45009
ENSMUSG00000104326.1	Trbv28
ENSMUSG00000074643.12	Cpne1
ENSMUSG00000000942.10	Hoxa4
ENSMUSG00000012042.8	4930579F01Rik
ENSMUSG00000023972.9	Ptk7
ENSMUSG00000108695.1	Gm2511
ENSMUSG00000043881.8	Kbtbd7
ENSMUSG00000042848.3	Vmn1r226
ENSMUSG00000015133.17	Lrrk1
ENSMUSG00000079357.8	Gm11100
ENSMUSG00000081124.1	Gm14906
ENSMUSG00000037531.8	Mrpl47
ENSMUSG00000101703.1	Gm1982
ENSMUSG00000019773.7	Fbxo5
ENSMUSG00000028089.5	Chd1l
ENSMUSG00000058579.5	Cela2a
ENSMUSG00000076038.1	Gm22774
ENSMUSG00000059064.8	Gm10059
ENSMUSG00000087644.1	Gm14703
ENSMUSG00000083660.1	Gm11853
ENSMUSG00000064884.1	Gm24204
ENSMUSG00000109076.1	Gm45145
ENSMUSG00000019789.9	Hey2
ENSMUSG00000106139.1	Gm43194
ENSMUSG00000042106.5	Fam212a
ENSMUSG00000107486.1	Trbv4
ENSMUSG00000110794.1	RP23-88K14.7
ENSMUSG00000101713.1	Gm28668
ENSMUSG00000018479.12	1700125H20Rik
ENSMUSG00000028643.11	Svbp
ENSMUSG00000048120.16	Entpd1
ENSMUSG00000025630.8	Hprt
ENSMUSG00000046636.5	Gm7729
ENSMUSG00000094001.1	Vmn1r122
ENSMUSG00000105672.1	Gm42816
ENSMUSG00000103052.1	Gm38272
ENSMUSG00000080370.1	Gm22952
ENSMUSG00000041605.16	5730559C18Rik
ENSMUSG00000099383.1	Gm28925
ENSMUSG00000059956.14	Serpinb12
ENSMUSG00000101730.1	Gm28580
ENSMUSG00000005718.7	Tfap4
ENSMUSG00000112853.1	RP24-124K4.3
ENSMUSG00000101278.1	Gm29381
ENSMUSG00000103780.1	Gm37524
ENSMUSG00000093289.1	Snord92
ENSMUSG00000106869.1	Gm42473
ENSMUSG00000044061.7	Olfr225
ENSMUSG00000035151.12	Elmod2
ENSMUSG00000027983.13	Cyp2u1
ENSMUSG00000081396.1	Gm15132
ENSMUSG00000096807.1	Hist1h2bm
ENSMUSG00000109115.1	Gm44669
ENSMUSG00000094015.1	Rps12-ps20
ENSMUSG00000049686.14	Orai1
ENSMUSG00000096864.1	Gm21978
ENSMUSG00000092928.1	Gm24563
ENSMUSG00000064220.6	Hist2h2aa1
ENSMUSG00000079056.12	Kcnip3
ENSMUSG00000108964.1	Gm18600
ENSMUSG00000091237.1	Gm17114
ENSMUSG00000021395.10	Spin1
ENSMUSG00000085987.2	Gm13403
ENSMUSG00000032243.8	Itga11
ENSMUSG00000087746.1	Gm25150
ENSMUSG00000090002.1	Gm16006
ENSMUSG00000051864.9	Tbc1d22a
ENSMUSG00000049154.11	Fam183b
ENSMUSG00000055746.9	Magea2
ENSMUSG00000093191.2	Gm22876
ENSMUSG00000085896.2	5330429C05Rik
ENSMUSG00000020463.15	Ppp4r3b
ENSMUSG00000081287.3	Olfr333-ps1
ENSMUSG00000109256.1	Gm44681
ENSMUSG00000059336.14	Slc14a1
ENSMUSG00000050526.5	4933406M09Rik
ENSMUSG00000090129.9	Olfr287
ENSMUSG00000086202.1	1700019E08Rik
ENSMUSG00000112843.1	RP23-325K4.10
ENSMUSG00000034163.10	Zfc3h1
ENSMUSG00000039105.6	Atp6v1g1
ENSMUSG00000038641.12	Akr1d1
ENSMUSG00000087445.1	Gm14286
ENSMUSG00000012350.15	Ehf
ENSMUSG00000067642.11	Adgrf3
ENSMUSG00000107498.1	Gm44240
ENSMUSG00000082197.1	Gm8577
ENSMUSG00000030116.14	Mfap5
ENSMUSG00000068547.6	Clca4a
ENSMUSG00000023914.16	Mep1a
ENSMUSG00000099596.1	Zbed4-ps3
ENSMUSG00000088237.1	Gm25424
ENSMUSG00000087451.1	Gm12970
ENSMUSG00000080992.1	Psmb5-ps
ENSMUSG00000105723.1	Mir7210
ENSMUSG00000029413.14	Naaa
ENSMUSG00000068206.12	Pick1
ENSMUSG00000074629.2	4930518I15Rik
ENSMUSG00000083231.1	Gm15096
ENSMUSG00000099545.1	Gm13276
ENSMUSG00000009628.14	Tex15
ENSMUSG00000034203.8	Chchd4
ENSMUSG00000082955.1	Gm8036
ENSMUSG00000088227.1	Gm22597
ENSMUSG00000066850.1	Vmn1r65
ENSMUSG00000022800.13	Fyttd1
ENSMUSG00000104213.5	Ighd
ENSMUSG00000049588.13	Ccdc69
ENSMUSG00000033882.15	Rbm46
ENSMUSG00000080522.1	Gm23881
ENSMUSG00000055302.5	Mrfap1
ENSMUSG00000104221.1	Gm37051
ENSMUSG00000099133.1	Gm27605
ENSMUSG00000031487.5	Brf2
ENSMUSG00000086156.1	Gm15354
ENSMUSG00000098879.1	Mir7675
ENSMUSG00000089657.1	Gm16585
ENSMUSG00000063856.7	Gpx1
ENSMUSG00000024786.9	Majin
ENSMUSG00000067219.9	Nipal1
ENSMUSG00000088751.1	Gm24902
ENSMUSG00000027534.16	Snx16
ENSMUSG00000080518.1	Gm22193
ENSMUSG00000044715.6	Gskip
ENSMUSG00000000804.14	Usp32
ENSMUSG00000100544.1	Gm28606
ENSMUSG00000111180.1	RP23-9A12.5
ENSMUSG00000039552.14	Rsph4a
ENSMUSG00000100503.1	Gm28927
ENSMUSG00000110441.1	Gm45790
ENSMUSG00000096642.1	Gm24870
ENSMUSG00000020268.13	Lyrm7
ENSMUSG00000045427.13	Hnrnph2
ENSMUSG00000084839.1	Gm14097
ENSMUSG00000044712.15	Slc38a6
ENSMUSG00000078853.8	Igtp
ENSMUSG00000097975.1	Gm8079
ENSMUSG00000102989.1	Gm38318
ENSMUSG00000103802.1	Gm21660
ENSMUSG00000020608.7	Smc6
ENSMUSG00000076333.1	Mir599
ENSMUSG00000095729.1	Gm23649
ENSMUSG00000103483.1	Gm20162
ENSMUSG00000019808.8	Adat2
ENSMUSG00000101343.1	Gm29469
ENSMUSG00000084352.1	Gm12370
ENSMUSG00000085922.1	Fhad1os2
ENSMUSG00000042303.17	Sgsm3
ENSMUSG00000100925.1	Gm28898
ENSMUSG00000046434.15	Hnrnpa1
ENSMUSG00000089617.1	Scarna10
ENSMUSG00000111942.1	RP23-36H21.3
ENSMUSG00000087748.1	Gm25154
ENSMUSG00000034958.11	Atcay
ENSMUSG00000066551.12	Hmgb1
ENSMUSG00000079387.10	Luzp4
ENSMUSG00000021700.9	Rab3c
ENSMUSG00000075020.6	Mir670hg
ENSMUSG00000097788.1	Gm16596
ENSMUSG00000027185.14	Nat10
ENSMUSG00000103649.1	Gm37768
ENSMUSG00000102522.1	Gm37782
ENSMUSG00000043036.13	Ccdc63
ENSMUSG00000022105.6	Rb1
ENSMUSG00000094825.8	Gm3194
ENSMUSG00000034111.5	Tmed8
ENSMUSG00000020400.17	Tnip1
ENSMUSG00000088591.1	Gm23964
ENSMUSG00000084052.1	Gm11745
ENSMUSG00000003344.14	Btbd2
ENSMUSG00000077001.2	Mir544
ENSMUSG00000092358.1	Gm20430
ENSMUSG00000098376.1	Mir6907
ENSMUSG00000104388.1	Gm37033
ENSMUSG00000092245.1	Gm17973
ENSMUSG00000089228.1	Gm25044
ENSMUSG00000106993.1	Gm43417
ENSMUSG00000044213.4	Olfr1094
ENSMUSG00000081957.5	Ak3l2-ps
ENSMUSG00000040148.5	Hmx3
ENSMUSG00000079389.10	Gm3149
ENSMUSG00000104209.1	Gm37400
ENSMUSG00000021991.8	Cacna2d3
ENSMUSG00000082258.1	Gm15289
ENSMUSG00000035000.8	Dpp4
ENSMUSG00000060534.15	Dcc
ENSMUSG00000073647.3	Gm10557
ENSMUSG00000099056.1	Gtpbp4-ps3
ENSMUSG00000020682.17	Mmp28
ENSMUSG00000025069.14	Gsto2
ENSMUSG00000112119.1	RP23-233K6.6
ENSMUSG00000076118.1	Mir669c
ENSMUSG00000023079.14	Gtf2ird1
ENSMUSG00000078263.1	Gm14188
ENSMUSG00000058717.8	Gm4763
ENSMUSG00000034382.14	AI661453
ENSMUSG00000067203.7	H2-K2
ENSMUSG00000107378.1	Gm18995
ENSMUSG00000089273.1	Gm24550
ENSMUSG00000045045.7	Lrfn4
ENSMUSG00000088573.1	Gm24530
ENSMUSG00000032359.14	Ctsh
ENSMUSG00000046005.3	D830044D21Rik
ENSMUSG00000032046.15	Abhd12
ENSMUSG00000020003.16	Pex7
ENSMUSG00000077153.1	Gm24580
ENSMUSG00000066272.5	Olfr559
ENSMUSG00000057322.12	Rpl38
ENSMUSG00000010609.15	Psen2
ENSMUSG00000108891.3	Olfr1291-ps1
ENSMUSG00000083428.1	Gm14591
ENSMUSG00000053391.5	Olfr211
ENSMUSG00000088563.1	Gm23779
ENSMUSG00000104664.1	Gm35570
ENSMUSG00000051695.6	Pcbp1
ENSMUSG00000037563.15	Rps16
ENSMUSG00000011305.11	Plin5
ENSMUSG00000061977.2	Tas2r104
ENSMUSG00000112568.1	RP23-233K6.3
ENSMUSG00000101149.1	Gm20892
ENSMUSG00000105891.4	A230001M10Rik
ENSMUSG00000022139.16	Mbnl2
ENSMUSG00000031503.13	Col4a2
ENSMUSG00000050908.12	Tvp23a
ENSMUSG00000101637.1	Gm28896
ENSMUSG00000110181.1	Gm45508
ENSMUSG00000098236.1	Gm7734
ENSMUSG00000106002.1	5430434I15Rik
ENSMUSG00000062753.13	AI413582
ENSMUSG00000094447.1	9430069I07Rik
ENSMUSG00000098597.1	Mir6418
ENSMUSG00000031924.4	Cyb5b
ENSMUSG00000088939.1	Gm25925
ENSMUSG00000075272.4	Ttc30a2
ENSMUSG00000077085.1	Gm23697
ENSMUSG00000103198.1	Gm9136
ENSMUSG00000085126.1	Gm12589
ENSMUSG00000035486.14	Plk5
ENSMUSG00000099086.1	Gm27622
ENSMUSG00000099074.1	Gm27564
ENSMUSG00000024283.14	Wac
ENSMUSG00000105998.1	Gm44324
ENSMUSG00000074681.2	Defb23
ENSMUSG00000020121.15	Srgap1
ENSMUSG00000014301.12	Pam16
ENSMUSG00000085721.1	Gm12796
ENSMUSG00000033577.18	Myo6
ENSMUSG00000110528.1	Gm1943
ENSMUSG00000059772.12	Slx1b
ENSMUSG00000025234.11	Arih1
ENSMUSG00000097398.2	Platr5
ENSMUSG00000101416.1	Gm29318
ENSMUSG00000112829.1	RP23-174N3.2
ENSMUSG00000061718.12	Ppp1r1b
ENSMUSG00000099250.1	Rn7s2
ENSMUSG00000059878.12	Zfp422
ENSMUSG00000095938.1	Gm25701
ENSMUSG00000074695.3	Il22
ENSMUSG00000107724.1	Gm16042
ENSMUSG00000041153.9	Osgin2
ENSMUSG00000092713.1	Gm22858
ENSMUSG00000094496.2	Olfr792
ENSMUSG00000092581.1	Gm3211
ENSMUSG00000024150.11	Mcfd2
ENSMUSG00000074452.13	Pate2
ENSMUSG00000090260.1	2810442N19Rik
ENSMUSG00000104654.1	Gm43814
ENSMUSG00000063382.6	Bcl9l
ENSMUSG00000080934.1	Gm12931
ENSMUSG00000052928.8	Ctif
ENSMUSG00000099140.1	Mir7237
ENSMUSG00000109911.1	Gm45525
ENSMUSG00000006289.14	Osgep
ENSMUSG00000103225.1	Gm37731
ENSMUSG00000044330.8	Gm9790
ENSMUSG00000109018.1	Gm44809
ENSMUSG00000027387.11	Zc3h8
ENSMUSG00000101907.1	Gm29472
ENSMUSG00000105080.1	Trav7n-6
ENSMUSG00000086866.2	4930512H18Rik
ENSMUSG00000106607.1	Gm43178
ENSMUSG00000094290.2	Gm27512
ENSMUSG00000102388.5	Gm33815
ENSMUSG00000039771.13	Polr2j
ENSMUSG00000096263.1	Snord14c
ENSMUSG00000030513.14	Pcsk6
ENSMUSG00000088897.1	Gm22521
ENSMUSG00000019998.6	Stx7
ENSMUSG00000109392.1	Gm5737
ENSMUSG00000083332.1	Gm7599
ENSMUSG00000049477.5	Gm8508
ENSMUSG00000033970.15	Rfc3
ENSMUSG00000027316.15	Gfra4
ENSMUSG00000025236.11	Adpgk
ENSMUSG00000017386.10	Traf4
ENSMUSG00000038622.7	Med30
ENSMUSG00000035722.15	Abca7
ENSMUSG00000100339.1	Gm21864
ENSMUSG00000021149.7	Gtpbp4
ENSMUSG00000099479.1	Gm29146
ENSMUSG00000041247.7	Lamp3
ENSMUSG00000027475.9	Kif3b
ENSMUSG00000096273.3	Olfr1474
ENSMUSG00000040759.8	Cmtm5
ENSMUSG00000085788.1	4930470G03Rik
ENSMUSG00000102598.1	Gm35670
ENSMUSG00000075115.3	Olfr1200
ENSMUSG00000047747.10	Rnf150
ENSMUSG00000069045.11	Ddx3y
ENSMUSG00000102263.1	Gm31415
ENSMUSG00000105576.1	Gm42164
ENSMUSG00000111141.1	RP23-366E4.2
ENSMUSG00000099422.4	Gm4275
ENSMUSG00000107714.1	Gm44398
ENSMUSG00000022758.12	P2rx6
ENSMUSG00000070182.1	Gm24817
ENSMUSG00000019715.14	Gle1
ENSMUSG00000093554.1	Obox4-ps26
ENSMUSG00000020723.3	Cacng4
ENSMUSG00000051343.11	Rab11fip5
ENSMUSG00000070003.7	Ssbp4
ENSMUSG00000094068.1	Gm25156
ENSMUSG00000079484.12	Phyhd1
ENSMUSG00000105504.4	Gbp5
ENSMUSG00000047963.7	Stbd1
ENSMUSG00000030683.11	Sez6l2
ENSMUSG00000075256.9	Cerkl
ENSMUSG00000099670.1	Gm28423
ENSMUSG00000092528.9	Nlrp1c-ps
ENSMUSG00000102606.1	Rpl21-ps1
ENSMUSG00000104816.1	Gm43473
ENSMUSG00000084415.1	Gm12837
ENSMUSG00000073094.9	Smim9
ENSMUSG00000025920.19	Stau2
ENSMUSG00000092995.1	Mir16-1
ENSMUSG00000030697.7	Ppp4c
ENSMUSG00000095112.1	Gm23712
ENSMUSG00000085053.1	Gm14809
ENSMUSG00000100437.1	Gm29152
ENSMUSG00000080072.2	Spin2-ps2
ENSMUSG00000025324.8	Atp10a
ENSMUSG00000092171.1	4833427F10Rik
ENSMUSG00000032741.9	Tpcn1
ENSMUSG00000056379.3	Taar1
ENSMUSG00000111266.1	RP23-257K20.1
ENSMUSG00000083950.1	Gm14466
ENSMUSG00000077295.1	Gm24122
ENSMUSG00000094534.1	Gm20945
ENSMUSG00000046623.8	Gjb4
ENSMUSG00000092981.1	Mir5125
ENSMUSG00000021012.15	Zc3h14
ENSMUSG00000065014.1	Gm23509
ENSMUSG00000085981.1	Gm11375
ENSMUSG00000099458.1	Gm19123
ENSMUSG00000024507.6	Hsd17b4
ENSMUSG00000055200.7	Sertad3
ENSMUSG00000096158.1	Gm21827
ENSMUSG00000038844.9	Kif16b
ENSMUSG00000085202.1	Gm15620
ENSMUSG00000083094.2	Gm4908
ENSMUSG00000078213.3	Btbd35f4
ENSMUSG00000057181.15	5730455P16Rik
ENSMUSG00000072677.4	Sox5it
ENSMUSG00000060956.4	Gm10092
ENSMUSG00000089687.2	Rab42
ENSMUSG00000055632.17	Hmcn2
ENSMUSG00000095212.4	Olfr473
ENSMUSG00000094125.1	Gm13698
ENSMUSG00000006585.3	Cdt1
ENSMUSG00000103762.1	Gm37861
ENSMUSG00000020684.14	Rasl10b
ENSMUSG00000103413.1	Gm38389
ENSMUSG00000020085.15	Aifm2
ENSMUSG00000038668.14	Lpar1
ENSMUSG00000109500.1	Gm44999
ENSMUSG00000100719.1	Gm28786
ENSMUSG00000022407.9	Adsl
ENSMUSG00000065735.1	Snord80
ENSMUSG00000028782.14	Adgrb2
ENSMUSG00000071256.3	Zfp213
ENSMUSG00000031596.15	Slc7a2
ENSMUSG00000024561.8	Mbd1
ENSMUSG00000105294.1	Gm43304
ENSMUSG00000064987.2	Gm25260
ENSMUSG00000100764.1	Gm29155
ENSMUSG00000019850.11	Tnfaip3
ENSMUSG00000087108.1	Gm16093
ENSMUSG00000084902.2	Gm281
ENSMUSG00000101963.2	1700001J11Rik
ENSMUSG00000065721.1	Gm26168
ENSMUSG00000056494.7	Cngb3
ENSMUSG00000102636.1	Gm31466
ENSMUSG00000093461.1	Vmn1r-ps21
ENSMUSG00000089822.1	Gm15759
ENSMUSG00000048852.13	Gm12185
ENSMUSG00000095329.1	Gm17330
ENSMUSG00000101831.1	Gm29412
ENSMUSG00000109683.1	Gm7836
ENSMUSG00000004267.16	Eno2
ENSMUSG00000103179.1	Gm37171
