Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
AXIN2	axin 2	8313	17:65529976-65558620	1	Yes	17q24.1	yes	yes	"colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma"	colorectal carcinoma	oligodontia-colorectal cancer syndrome	E	Rec	TSG	"Mis, F, N"				"8313,AXIL,AXIN2,DKFZp781B0869,ENSG00000168646,MGC126582"
B2M	beta-2-microglobulin	567	15:44711547-44716342	1	Yes	15q21.1	yes		"DLBCL, melanoma, colorectal adenocarcinoma"			"E, L"	Rec	TSG	"Mis, N, F"		yes	Immunodeficiency 43	"567,B2M,ENSG00000166710,P61769"
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	8314	3:52402288-52409878	1		3p21.31-p21.2	yes	yes	"uveal melanoma, breast, NSCLC, RCC"	"mesothelioma, uveal melanoma"		E	Rec	TSG	"N, Mis, F, S, O"				"8314,BAP1,DKFZp686N04275,ENSG00000163930,FLJ35406,FLJ37180,HUCEP-13,KIAA0272,Q92560,hucep-6"
BARD1	BRCA1 associated RING domain 1	580	2:214728676-214809569	1		2q35	yes	yes	breast cancer	"ovarian cancer, breast cancer, endometrioid cancer"		E		TSG	Mis				"580,BARD1,ENSG00000138376,Q99728"
BCL10	B-cell CLL/lymphoma 10	8915	1:85267627-85276352	1	Yes	1p22	yes		MALT			L	Dom	"TSG, fusion"	T	IGH			"8915,BCL10,CARMEN,CIPER,CLAP,ENSG00000142867,c-E10,mE10"
BCL11A	B-cell CLL/lymphoma 11A	53335	2:60460404-60553270	1	Yes	2p13	yes		B-CLL			L	Dom	"oncogene, fusion"	T	IGH			"53335,BCL11A,BCL11A-L,BCL11A-S,BCL11A-XL,CTIP1,ENSG00000119866,EVI9,FLJ10173,FLJ34997,KIAA1809,Q9H165"
BCL11B	B-cell CLL/lymphoma 11B  (CTIP2)	64919	14:99174151-99271218	1	Yes	14q32.1	yes		T-ALL			L	Dom	"oncogene, TSG, fusion"	T	TLX3			"64919,BCL11B,CTIP-2,CTIP2,ENSG00000127152,Q9C0K0,hRIT1-alpha"
BCL2	B-cell CLL/lymphoma 2	596	18:63128625-63318666	1		18q21.3	yes		"NHL, CLL"			L	Dom	"oncogene, fusion"	T	IGH			"596,BCL2,Bcl-2,ENSG00000171791"
BCL2L12	BCL2 like 12	83596	19:49665824-49673748	2		19q13.33	yes		"melanoma, SCC"			E		oncogene	Mis				"83596,BCL2L12,ENSG00000126453,MGC120313,MGC120314,MGC120315,Q9HB09"
BCL3	B-cell CLL/lymphoma 3	602	19:44748791-44759615	1		19q13	yes		CLL			L	Dom	"oncogene, fusion"	T	IGH			"602,BCL3,BCL4,D19S37,ENSG00000069399,P20749"
BCL6	B-cell CLL/lymphoma 6	604	3:187722458-187733693	1		3q27	yes		"NHL, CLL"			L	Dom	"oncogene, fusion"	"T, Mis"	"IG loci, ZNFN1A1, LCP1, PIM1, TFRC, CIITA, NACA, HSPCB, HSP90AA1, HIST1H4I, IL21R,  POU2AF1, RHOH, EIF4A2, SRSF3"			"603,604,BCL5,BCL6,BCL6A,ENSG00000113916,LAZ3,P41182,ZBTB27,ZNF51"
BCL7A	B-cell CLL/lymphoma 7A	605	12:122022092-122059163	1		12q24.1	yes		BNHL			L	Dom	fusion	T	MYC			"605,BCL7,BCL7A,ENSG00000110987"
BCL9	B-cell CLL/lymphoma 9	607	1:147611837-147624864	1	Yes	1q21	yes		B-ALL			L	Dom	"oncogene, fusion"	T	"IGH, IGL"			"607,BCL9,ENSG00000116128,LGS,MGC131591"
BCL9L	B-cell CLL/lymphoma 9-like	283149	11:118898415-118909939	1		11q23.3	yes		"colorectal cancer, endometrial carcinoma, gastric cancer"			E		"oncogene, TSG"	"Mis, F"				"283149,BCL9-2,BCL9L,DLNB11,ENSG00000186174"
BCLAF1	BCL2 associated transcription factor 1	9774	6:136261259-136279866	2		6q23.3	yes		"melanoma, SCC"			E			Mis				"9774,BCLAF1,BTF,ENSG00000029363,KIAA0164,bK211L9_1"
BCOR	BCL6 corepressor	54880	X:40052109-40077929	1		Xp11.4	yes		"retinoblastoma, AML, APL (translocation)"				Rec	"TSG, fusion"	"F, N, S, T"	RARA	yes	Oculo-facio-cardio-dental genetic	"54880,ANOP2,BCOR,ENSG00000183337,FLJ20285,FLJ38041,KIAA1575,MAA2,MCOPS2,MGC131961,MGC71031"
BCORL1	BCL6 corepressor-like 1	63035	X:130005232-130056136	1	Yes	Xq25-q26.1	yes		"AML, HNSCC"			"E, L"		"oncogene, TSG"	"Mis, N, F"				"63035,B930011H20Rik,BCORL1,ENSG00000085185,FLJ11362,RP3-510O21_1"
BCR	breakpoint cluster region	613	22:23180961-23315522	1		22q11.21	yes		"CML, ALL, AML"			L	Dom	fusion	T	"ABL1,  FGFR1, JAK2"			"613,ALL,BCR,BCR1,CML,D22S11,D22S662,ENSG00000186716,FLJ16453,P11274,PHL"
BIRC3	baculoviral IAP repeat-containing 3	330	11:102324510-102337102	1	Yes	11q22	yes		"CLL, MALT, MCL, MM"			L	Dom	"oncogene, TSG, fusion"	"D, F, N, T, Mis"	MALT1			"330,AIP1,API2,BIRC3,CIAP2,ENSG00000023445,HAIP1,HIAP1,MALT2,MIHC,Q13489,RNF49,cIAP2,hiap-1"
BIRC6	baculoviral IAP repeat containing 6	57448	2:32357162-32617904	2		2p22.3	yes		"melanoma, gastric adenocarcinoma, lung adenocarcinoma"			E		"oncogene, fusion"	"T, Mis"	ALK			"57448,APOLLON,BIRC6,BRUCE,ENSG00000115760,FLJ13726,FLJ13786,KIAA1289"
BLM	Bloom Syndrome	641	15:90747393-90815279	1	Yes	15q26.1		yes		"leukaemia, lymphoma, skin squamous cell, other tumour types"	Bloom syndrome	"L, E"	Rec	TSG	"Mis, N, F"				"641,BLM,BS,ENSG00000197299,MGC126616,MGC131618,MGC131620,RECQ2,RECQL2,RECQL3"
BMP5	bone morphogenetic protein 5	653	6:55755533-55874865	2		6p12.1	yes		melanoma			E			Mis				"653,BMP5,ENSG00000112175,MGC34244,P22003"
BMPR1A	"bone morphogenetic protein receptor, type IA"	657	10:86876019-86923719	1	Yes	10q22.3		yes		gastrointestinal polyps	juvenile polyposis	E	Rec	"oncogene, TSG"	"Mis, N, F"				"657,ACVRLK3,ALK3,BMPR1A,CD292,ENSG00000107779,P36894"
BRAF	v-raf murine sarcoma viral oncogene homolog B1	673	7:140734597-140924703	1	Yes	7q34	yes		"melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric"			"E, O"	Dom	"oncogene, fusion"	"Mis, T, O"	"AKAP9, KIAA1549, CEP88, LSM14A, SND1, FCHSD1, SLC45A3, FAM131B, RNF130, CLCN6, MKRN1, GNAI1, AGTRAP"	yes	Cardio-facio-cutaneous syndrome	"673,B-raf 1,B-raf1,BRAF,BRAF1,ENSG00000157764,MGC126806,MGC138284,P15056,RAFB1"
BRCA1	familial breast/ovarian cancer gene 1	672	17:43045678-43124096	1	Yes	17q21	yes	yes	ovarian	"breast, ovarian"	hereditary breast/ovarian cancer	E	Rec	TSG	"D, Mis, N, F, S"				"672,BRCA1,BRCAI,BRCC1,ENSG00000012048,IRIS,PSCP,RNF53"
BRCA2	familial breast/ovarian cancer gene 2	675	13:32316461-32398770	1	Yes	13q12	yes	yes	"breast, ovarian, pancreatic"	"breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)"	hereditary breast/ovarian cancer	"L, E"	Rec	TSG	"D, Mis, N, F, S"				"675,BRCA2,BRCC2,ENSG00000139618,FACD,FAD,FAD1,FANCD,FANCD1,RP11-298P3_4"
BRD3	bromodomain containing 3	8019	9:134033590-134053477	1		9q34	yes		lethal midline carcinoma of young people			E	Dom	"oncogene, fusion"	T	NUTM1			"8019,BRD3,ENSG00000169925,KIAA0043,ORFX,Q15059,RING3L"
BRD4	bromodomain containing 4	23476	19:15249280-15273099	1	Yes	19p13.1	yes		lethal midline carcinoma of young people			E	Dom	"oncogene, fusion"	T	NUTM1			"23476,BRD4,CAP,ENSG00000141867,HUNKI,MCAP,O60885"
BRIP1	BRCA1 interacting protein C-terminal helicase 1	83990	17:61683296-61861539	1	Yes	17q22		yes		"AML, leukaemia, breast"	"Fanconi anaemia J, breast cancer susceptiblity"	"L, E"	Rec	TSG	"F, N, Mis"				"83990,BRIP1,ENSG00000136492,FANCJ,FLJ90232,MGC126521,MGC126523,OF,Q9BX63"
BTG1	"B-cell translocation gene 1, anti-proliferative"	694	12:92144080-92145535	1		12q22	yes		B-CLL			L	Dom	"TSG, fusion"	T	MYC			"694,BTG1,ENSG00000133639,P62324"
BTK	Bruton agammaglobulinemia tyrosine kinase	695	X:101349885-101375284	1	Yes	Xq21.33-q22	yes		"CLL, mantle cell lymphoma, WM"			L	Dom	"oncogene, TSG"	Mis		yes	agammaglobulinemia	"695,AGMX1,AT,ATK,BPK,BTK,ENSG00000010671,IMD1,MGC126261,MGC126262,PSCTK1,Q06187,RP1-164F3_2,XLA"
BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	701	15:40161221-40220759	1	Yes	15q15		yes		rhabdomyosarcoma	mosaic variegated aneuploidy	M	Rec	TSG	"Mis, N, F, S"				"701,BUB1B,BUB1beta,BUBR1,Bub1A,ENSG00000156970,MAD3L,O60566,SSK1,hBUBR1"
C15orf65	chromosome 15 open reading frame 65	145788	15:-	2		15q21.3	yes		"PMBL, Hodgkin lymphoma"			L	Dom	fusion	T	CIITA			
C2orf44	chromosome 2 open reading frame 44	80304	2:24030933-24039494	1		2p23.3	yes		colorectal			E	Dom	fusion	T	ALK			"80304,C2orf44,ENSG00000163026,FLJ21945,PP384"
CACNA1D	"calcium channel, voltage-dependent, L type, alpha 1D subunit"	776	3:53495167-53811406	1	Yes	3p14.3	yes		adrenal aldosterone producing adenoma			E	Dom	oncogene	Mis		yes	"Syndrome featuring primary aldosteronism, seizures and neuromuscular disease."	"776,CACH3,CACN4,CACNA1D,CACNL1A2,CCHL1A2,Cav1_3,ENSG00000157388"
CALR	calreticulin	811	19:12938680-12943913	1		19p13.3-p13.2	yes		"MPN, MDS"			L	Dom	oncogene	"F, Mis"				"811,CALR,ENSG00000179218,FLJ26680,P27797,RO,SSA,cC1qR"
CAMTA1	calmodulin binding transcription activator 1	23261	1:6785531-7766491	1	Yes	1p36.31-p36.23	yes		epithelioid haemangioendothelioma			M	Dom	"TSG, fusion"	T	WWTR1			"23261,CAMTA1,ENSG00000171735,KIAA0833,Q9Y6Y1"
CANT1	calcium activated nucleotidase 1	124583	17:78993550-78997622	1	Yes	17q25	yes		prostate			E	Dom	fusion	T	ETV4			"124583,CANT1,ENSG00000171302,Q8WVQ1,SCAN-1,SHAPY"
CARD11	"caspase recruitment domain family, member 11"	84433	7:2906638-2958506	1	Yes	7p22	yes		DLBCL			L	Dom	oncogene	Mis				"84433,BIMP3,CARD11,CARMA1,ENSG00000198286,MGC133069,Q9BXL7"
CARS	cysteinyl-tRNA synthetase	833	11:3001114-3057367	1	Yes	11p15.5	yes		ALCL			L	Dom	"TSG, fusion"	T	ALK			"833,CARS,ENSG00000110619,P49589"
CASC5	cancer susceptibility candidate 5	57082	15:40602933-40654977	1	Yes	15q14	yes		AML			L	Dom	"TSG, fusion"	T	KMT2A			"57082,AF15Q14,CASC5,D40,ENSG00000137812,Q8NG31"
CASP8	"caspase 8, apoptosis-related cysteine peptidase"	841	2:201266487-201286594	1		2q33-q34	yes		"hepatocellular, oral squamous cell, breast"			E	Rec	TSG	"N, S, F"				"841,ALPS2B,CAP4,CASP8,ENSG00000064012,FLICE,MACH,MCH5,MGC78473"
CBFA2T3	"core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (MTG-16)"	863	16:88876976-88976807	1	Yes	16q24	yes		AML			L	Dom	"TSG, fusion"	T	"RUNX1, GLIS2"			"863,CBFA2T3,ENSG00000129993,ETO2,MTG16,MTGR2,ZMYND4"
CBFB	"core-binding factor, beta subunit"	865	16:67029409-67098733	1	Yes	16q22	yes		AML			L	Dom	"TSG, fusion"	T	MYH11			"865,CBFB,ENSG00000067955,PEBP2B,Q13951"
CBL	Cas-Br-M (murine) ecotropic retroviral transforming	867	11:119206418-119299781	1		11q23.3	yes		"AML, JMML, MDS"			L	Dom/Rec	"oncogene, TSG, fusion"	"T, Mis, S, O"	KMT2A			"867,C-CBL,CBL,CBL2,ENSG00000110395,RNF55"
CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	868	3:105658970-105867577	1	Yes	3q13.11	yes		AML			L	Rec	TSG	"Mis, S"				"868,CBLB,DKFZp686J10223,DKFZp779A0729,DKFZp779F1443,ENSG00000114423,FLJ36865,FLJ41152,Nbla00127,RNF56"
CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	23624	19:44777932-44800443	1		19q13.2	yes		AML			L	Rec	"oncogene, TSG"	M				"23624,CBL-3,CBL-SL,CBLC,ENSG00000142273,Q9ULV8,RNF57"
CCDC6	coiled-coil domain containing 6	8030	10:59792917-59906424	1	Yes	10q21	yes		"papillary thyroid, CML, NSCLC"			E	Dom	"TSG, fusion"	T	"RET, PDGFRB"			"8030,CCDC6,D10S170,ENSG00000108091,H4,PTC,Q16204,TPC,TST1"
CCNB1IP1	"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase"	57820	14:20311550-20316523	1	Yes	14q11.2	yes		leiomyoma			M	Dom	"TSG, fusion"	T	HMGA2			"57820,C14orf18,CCNB1IP1,ENSG00000100814,HEI10,Q9NPC3"
CCNC	cyclin C	892	6:99991431-100010824	2		6q16.2	yes		T-ALL			L		TSG	D				"892,CCNC,ENSG00000112237"
CCND1	cyclin D1	595	11:69641314-69651282	1	Yes	11q13	yes		"CLL, B-ALL, breast"			"L, E"	Dom	"oncogene, fusion"	T	"IGH, FSTL3"			"595,BCL1,CCND1,D11S287E,ENSG00000110092,PRAD1,U21B31"
CCND2	cyclin D2	894	12:4274041-4300009	1	Yes	12p13	yes		"NHL,CLL"			L	Dom	"oncogene, fusion"	T	IGL			"894,CCND2,ENSG00000118971,KIAK0002,MGC102758,P30279"
CCND3	cyclin D3	896	6:41935940-41941649	1		6p21	yes		MM			L	Dom	"oncogene, fusion"	T	IGH			"896,CCND3,ENSG00000112576,P30281"
CCNE1	cyclin E1	898	19:29812556-29823777	1	Yes	19q12	yes		serous ovarian			E	Dom	oncogene	A				"898,CCNE,CCNE1,ENSG00000105173,P24864"
CCR4	C-C motif chemokine receptor 4	1233	3:32953423-32954505	2		3p22.3	yes		adult T-cell leukaemia/lymphoma			L		oncogene	N				"1233,CC-CKR-4,CCR4,CKR4,CMKBR4,ChemR13,ENSG00000183813,HGCN:14099,K5-5,MGC88293,P51679,k5-5"
CCR7	C-C motif chemokine receptor 7	1236	17:40554742-40565409	2		17q21.2	yes		adult T-cell leukaemia/lymphoma			L		oncogene	N				"1236,BLR2,CCR7,CD197,CDw197,CMKBR7,EBI1,ENSG00000126353,P32248"
CD209	CD209 molecule	30835	19:7743039-7747511	2		19p13.2	yes		prostate carcinoma			E			Mis				"30835,CD209,CDSIGN,CLEC4L,DC-SIGN,DC-SIGN1,ENSG00000090659,MGC129965,Q9NNX6"
