Gene symbol	Entrez gene ID	Description	RefSeq accession	Molecular class	empty
AMPD3	272	AMP deaminase 3	NP_000471.1	Enzyme: Deaminase	
AMPD3	272	AMP deaminase 3	NP_001020560.1	Enzyme: Deaminase	
AMPD3	272	AMP deaminase 3	NP_001020561.1	Enzyme: Deaminase	
ADORA1	134	Adenosine A1 receptor	NP_000665.1	G protein coupled receptor	
ADORA1	134	Adenosine A1 receptor	NP_001041695.1	G protein coupled receptor	
ADORA2A	135	Adenosine A2 receptor	NP_000666.2	G protein coupled receptor	
ATP5B	506	"ATP synthase, beta"	NP_001677.2	Transport/cargo protein	
ADCYAP1R1	117	"PACAP receptor, type I"	BAA04466.1	G protein coupled receptor	
ADCYAP1R1	117	"PACAP receptor, type I"	NP_001109.2	G protein coupled receptor	
AK1	203	Adenylate kinase 1	NP_000467.1	Enzyme: Phosphotransferase	
AK2	204	Adenylate kinase 2	NP_001616.1	Enzyme: Phosphotransferase	
AK2	204	Adenylate kinase 2	NP_037543.1	Enzyme: Phosphotransferase	
AK2	204	Adenylate kinase 2	NP_751949.1	Enzyme: Phosphotransferase	
AK3L1	205	Adenylate kinase 3-like 1	NP_037542.1	Enzyme: Phosphotransferase	
AK3L1	205	Adenylate kinase 3-like 1	NP_001005353.1	Enzyme: Phosphotransferase	
AK3L1	205	Adenylate kinase 3-like 1	NP_982289.1	Enzyme: Phosphotransferase	
ADSL	158	Adenylosuccinate lyase	NP_000017.1	Enzyme: Lyase	
ADSL	158	Adenylosuccinate lyase	NP_001116850.1	Enzyme: Lyase	
ADSS	159	Adenylosuccinate synthase	NP_001117.2	Enzyme: Synthase	
ADCY8	114	Adenylate cyclase 8	NP_001106.1	Adenylate cyclase	
ADCY2	108	Adenylate cyclase 2	AAP97285.1	Adenylate cyclase	
ADCY2	108	Adenylate cyclase 2	NP_065433.2	Adenylate cyclase	
ADCY1	107	Adenylate cyclase 1	NP_066939.1	Adenylate cyclase	
ARF1	375	ADP ribosylation factor 1	NP_001649.1	GTPase	
ARF1	375	ADP ribosylation factor 1	NP_001019397.1	GTPase	
ARF1	375	ADP ribosylation factor 1	NP_001019398.1	GTPase	
ARF1	375	ADP ribosylation factor 1	NP_001019399.1	GTPase	
ARF5	381	ADP ribosylation factor 5	NP_001653.1	G protein	
ARF3	377	ADP ribosylation factor 3	NP_001650.1	G protein	
PLIN2	123	Adipose differentiation related protein	NP_001113.2	Storage protein	
SLC25A4	291	"Solute carrier family 25, mitochondrial carrier, member 4"	NP_001142.2	Transport/cargo protein	
FDX1	2230	Adrenodoxin	NP_004100.1	Enzyme: Oxidoreductase	
FDXR	2232	Adrenodoxin reductase	NP_004101.2	Enzyme: Oxidoreductase	
FDXR	2232	Adrenodoxin reductase	NP_077728.2	Enzyme: Oxidoreductase	
ADM	133	Adrenomedullin	NP_001115.1	Peptide hormone	
ALB	213	Albumin	NP_000468.1	Transport/cargo protein	
ADH1A	124	Alcohol dehydrogenase 1	NP_000658.1	Enzyme: Oxidoreductase	
ADH5	128	"Alcohol dehydrogenase 5, chi polypeptide"	NP_000662.3	Enzyme: Oxidoreductase	
ADH1B	125	Alcohol dehydrogenase 2	NP_000659.2	Enzyme: Dehydrogenase	
ADH1C	126	Alcohol dehydrogenase 3	NP_000660.1	Enzyme: Dehydrogenase	
ADH6	130	Alcohol dehydrogenase 6	NP_000663.1	Enzyme: Dehydrogenase	
ADH6	130	Alcohol dehydrogenase 6	NP_001095940.1	Enzyme: Dehydrogenase	
ADH4	127	Alcohol dehydrogenase 4	NP_000661.2	Enzyme: Dehydrogenase	
AKR1A1	10327	Aldehyde reductase	NP_006057.1	Enzyme: Oxidoreductase	
AKR1A1	10327	Aldehyde reductase	NP_697021.1	Enzyme: Oxidoreductase	
ALDOA	226	Aldolase 1	NP_000025.1	Enzyme: Lyase;Enzyme: Aldolase	
ALDOA	226	Aldolase 1	NP_908930.1	Enzyme: Lyase;Enzyme: Aldolase	
ALDOA	226	Aldolase 1	NP_908932.1	Enzyme: Lyase;Enzyme: Aldolase	
ALDOA	226	Aldolase 1	NP_001121089.1	Enzyme: Lyase;Enzyme: Aldolase	
AKR1B1	231	Aldose reductase	NP_001619.1	Enzyme: Oxidoreductase	
A2M	2	"Macroglobulin, alpha 2"	NP_000005.2	Protease inhibitor	
AFM	173	Afamin	NP_001124.1	Structural protein	
AFP	174	Alpha fetoprotein	NP_001125.1	Transport/cargo protein	
ZFHX3	463	Alpha fetoprotein enhancer binding protein	NP_008816.3	DNA binding protein	
NAGA	4668	Alpha-galactosidase B	NP_000253.1	Enzyme: Glycosidase	
GANC	2595	"Alpha glucosidase C, neutral"	NP_937784.2	Enzyme: Glycosidase	
ADRA2A	150	Alpha 2A adrenergic receptor	NP_000672.3	G protein coupled receptor	
ADRA1D	146	Alpha 1D adrenergic receptor	NP_000669.1	G protein coupled receptor	
ADRA1B	147	Alpha 1B adrenergic receptor	NP_000670.1	G protein coupled receptor	
ADRA1A	148	Alpha 1A adrenergic receptor	NP_150646.3	G protein coupled receptor	
ADRA1A	148	Alpha 1A adrenergic receptor	NP_000671.2	G protein coupled receptor	
ADRA1A	148	Alpha 1A adrenergic receptor	NP_150647.2	G protein coupled receptor	
ADRA1A	148	Alpha 1A adrenergic receptor	NP_150645.2	G protein coupled receptor	
LRPAP1	4043	RAP	NP_002328.1	Chaperone	
FUT4	2526	Fucosyltransferase 4	NP_002024.1	Enzyme: Fucosyltransferase	
ST3GAL4	6484	Sialyltransferase 4C	NP_006269.1	Enzyme: Sialyltransferase	
ADRA2C	152	Alpha 2C adrenergic receptor	NP_000674.2	G protein coupled receptor	
ADRA2B	151	Alpha 2B adrenergic receptor	NP_000673.2	G protein coupled receptor	
PSEN1	5663	Presenilin 1	NP_000012.1	Integral membrane protein	
PSEN1	5663	Presenilin 1	NP_015557.2	Integral membrane protein	
PSEN1	5663	Presenilin 1	NP_015558.1	Integral membrane protein	
ABP1	26	Amiloride binding protein 1	NP_001082.2	Enzyme: Oxidase	
CCT6A	908	Chaperonin containing T-complex polypeptide 1 subunit 6A	NP_001753.1	Chaperone	
CCT6A	908	Chaperonin containing T-complex polypeptide 1 subunit 6A	NP_001009186.1	Chaperone	
SLC3A1	6519	"Solute carrier family 3, member 1"	NP_000332.2	Transport/cargo protein	
SLC7A1	6541	"Solute carrier family 7, member 1"	NP_003036.1	Membrane transport protein	
ACY1	95	Aminoacylase-1	NP_000657.1	Enzyme: Hydrolase	
AREG	374	Amphiregulin	NP_001648.1	Growth factor	
AMY2A	279	"Amylase, pancreatic A"	NP_000690.1	Enzyme: Amylase	
AMY2B	280	"Amylase, Pancreatic B"	NP_066188.1	Enzyme: Amylase	
AMY1A	276	"Amylase, salivary"	NP_004029.2	Enzyme: Amylase	
AMY1A	276	"Amylase, salivary"	NP_001008222.1	Enzyme: Amylase	
SAA1	6288	Serum Amyloid A1	NP_000322.2	Transport/cargo protein	
SAA1	6288	Serum Amyloid A1	NP_954630.1	Transport/cargo protein	
SAA2	6289	Serum amyloid A2	NP_110381.2	Transport/cargo protein	
SAA2	6289	Serum amyloid A2	NP_001120852.1	Transport/cargo protein	
SAA4	6291	Serum amyloid A4	NP_006503.1	Transport/cargo protein	
APP	351	Amyloid beta A4 protein	NP_000475.1	Cell surface receptor	
APP	351	Amyloid beta A4 protein	NP_958816.1	Cell surface receptor	
APP	351	Amyloid beta A4 protein	NP_958817.1	Cell surface receptor	
APP	351	Amyloid beta A4 protein	NP_001129601.1	Cell surface receptor	
APP	351	Amyloid beta A4 protein	NP_001129602.1	Cell surface receptor	
APCS	325	Serum amyloid P	NP_001630.1	Secreted polypeptide	
APLP1	333	Amyloid precursor like protein 1	NP_005157.1	Transcription regulatory protein;Unclassified	
APLP1	333	Amyloid precursor like protein 1	NP_001019978.1	Transcription regulatory protein;Unclassified	
APLP2	334	Amyloid precursor like protein 2	NP_001633.1	Integral membrane protein	
APLP2	334	Amyloid precursor like protein 2	NP_001135748.1	Integral membrane protein	
APLP2	334	Amyloid precursor like protein 2	NP_001135749.1	Integral membrane protein	
APLP2	334	Amyloid precursor like protein 2	NP_001135750.1	Integral membrane protein	
ALK	238	ALK	NP_004295.2	Receptor tyrosine kinase	
ANG	283	Ribonuclease 5	NP_001136.1	Ribonuclease	
ANG	283	Ribonuclease 5	NP_001091046.1	Ribonuclease	
AGT	183	Angiotensin I	NP_000020.1	Peptide hormone	
AGTR1	185	Angiotensin receptor 1	NP_114038.1	G protein coupled receptor	
AGTR1	185	Angiotensin receptor 1	NP_000676.1	G protein coupled receptor	
AGTR1	185	Angiotensin receptor 1	NP_004826.2	G protein coupled receptor	
AGTR1	185	Angiotensin receptor 1	NP_033611.1	G protein coupled receptor	
AGTR1	185	Angiotensin receptor 1	NP_114438.1	G protein coupled receptor	
ACE	1636	Angiotensin I converting enzyme	NP_000780.1	Enzyme: Hydrolase	
ACE	1636	Angiotensin I converting enzyme	NP_690044.1	Enzyme: Hydrolase	
ACE	1636	Angiotensin I converting enzyme	NP_690043.1	Enzyme: Hydrolase	
SLC4A3	6508	"Solute carrier family 4 (anion exchange), member 3"	NP_005061.2	Membrane transport protein	
SLC4A3	6508	"Solute carrier family 4 (anion exchange), member 3"	NP_963868.2	Membrane transport protein	
ANK2	287	Ankyrin 2	NP_001139.3	Cytoskeletal associated protein	
ANK2	287	Ankyrin 2	NP_066187.2	Cytoskeletal associated protein	
ANK2	287	Ankyrin 2	NP_001120965.1	Cytoskeletal associated protein	
ANXA3	306	Annexin III	NP_005130.1	Calcium binding protein	
ANXA4	307	Annexin IV	NP_001144.1	Calcium binding protein	
CD19	930	CD19	NP_001761.3	Cell surface receptor	
CD22	933	SIGLEC2	NP_001762.2	Adhesion molecule	
CD44	960	CD44	NP_000601.3	Cell surface receptor	
CD44	960	CD44	NP_001001389.1	Cell surface receptor	
CD44	960	CD44	NP_001001390.1	Cell surface receptor	
CD44	960	CD44	NP_001001391.1	Cell surface receptor	
CD44	960	CD44	NP_001001392.1	Cell surface receptor	
CD38	952	Cyclic ADP ribose hydrolase	NP_001766.2	Enzyme: Hydrolase	
CD59	966	CD59	NP_000602.1	Cell surface receptor	
CD59	966	CD59	NP_976074.1	Cell surface receptor	
CD59	966	CD59	NP_976075.1	Cell surface receptor	
CD59	966	CD59	NP_976076.1	Cell surface receptor	
CD59	966	CD59	NP_001120695.1	Cell surface receptor	
CD59	966	CD59	NP_001120697.1	Cell surface receptor	
CD59	966	CD59	NP_001120698.1	Cell surface receptor	
CD59	966	CD59	NP_001120699.1	Cell surface receptor	
CD72	971	CD72	NP_001773.1	Cell surface receptor	
CD69	969	CD69 antigen	NP_001772.1	Cell surface receptor	
SERPINA3	12	Alpha 1 antichymotrypsin	NP_001076.2	Protease inhibitor	
SLPI	6590	Secretory leukocyte protease inhibitor	NP_003055.1	Protease inhibitor	
SERPINC1	462	Antithrombin III	NP_000479.1	Protease inhibitor	
SLC9A1	6548	"Solute carrier family 9, isoform A1"	NP_003038.2	Membrane transport protein	
ALDH7A1	501	"Aldehyde dehydrogenase 7 family, member A1"	NP_001173.2	Enzyme: Oxidoreductase	
CD3EAP	10849	Antisense ERCC1	NP_036231.1	Transcription regulatory protein	
IFNAR1	3454	"Interferon, alpha receptor"	NP_000620.2	Cytokine receptor	
IFNGR1	3459	Interferon gamma receptor 1	NP_000407.1	Cytokine receptor	
TFAP2A	7020	Transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	NP_003211.1	Transcription factor	
TFAP2A	7020	Transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	NP_001027451.1	Transcription factor	
TFAP2A	7020	Transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	NP_001035890.1	Transcription factor	
APOA2	336	Apolipoprotein A II	NP_001634.1	Transport/cargo protein	
APOA4	337	Apolipoprotein A IV	NP_000473.2	Transport/cargo protein	
APOC1	341	Apolipoprotein C-I	NP_001636.1	Transport/cargo protein	
APOC3	345	Apolipoprotein C III	NP_000031.1	Transport/cargo protein	
APOB	338	Apolipoprotein B	NP_000375.2	Transport/cargo protein	
APOD	347	Apolipoprotein D	NP_001638.1	Transport/cargo protein	
APOE	348	Apolipoprotein E	NP_000032.1	Transport/cargo protein	
APEX1	328	Apex nuclease	NP_542380.1	DNA repair protein	
APEX1	328	Apex nuclease	NP_001632.2	DNA repair protein	
APEX1	328	Apex nuclease	NP_542379.1	DNA repair protein	
APOF	319	Apolipoprotein F	NP_001629.1	Transport/cargo protein	
LRP1	4035	Low density lipoprotein receptor-related protein 1	NP_002323.2	Cell surface receptor	
NR2F2	7026	"Nuclear receptor subfamily 2, group F, member 2"	NP_066285.1	Nuclear receptor	
NR2F2	7026	"Nuclear receptor subfamily 2, group F, member 2"	NP_001138627.1	Nuclear receptor	
NR2F2	7026	"Nuclear receptor subfamily 2, group F, member 2"	NP_001138628.1	Nuclear receptor	
NR2F2	7026	"Nuclear receptor subfamily 2, group F, member 2"	NP_001138629.1	Nuclear receptor	
AQP1	358	Aquaporin 1	NP_000376.1	Water channel	
AQP1	358	Aquaporin 1	NP_932766.1	Water channel	
AQP2	359	Aquaporin 2	NP_000477.1	Water channel	
RARS	5917	Arginyl-tRNA synthetase	NP_002878.2	Enzyme: Ligase	
ARG2	384	Arginase II	NP_001163.1	Enzyme: Hydrolase	
TNFRSF17	608	BCMA	NP_001183.2	Cell surface receptor	
DDC	1644	DOPA decarboxylase	NP_000781.1	Enzyme: Decarboxylase	
DDC	1644	DOPA decarboxylase	NP_001076440.1	Enzyme: Decarboxylase	
ARRB1	408	Beta arrestin 1	NP_004032.2	Adapter molecule	
ARRB1	408	Beta arrestin 1	NP_064647.1	Adapter molecule	
ARRB2	409	Beta arrestin 2	NP_004304.1	Adapter molecule	
ARRB2	409	Beta arrestin 2	NP_945355.1	Adapter molecule	
CYP1A1	1543	"Cytochrome p450 subfamily, polypeptide 1"	NP_000490.1	Enzyme: Hydroxylase	
NAT1	9	N-acetyltransferase 1	NP_000653.3	Enzyme: Acyltransferase	
GRB2	2885	Grb2	NP_002077.1	Adapter molecule	
GRB2	2885	Grb2	NP_987102.1	Adapter molecule	
ASGR1	432	Asialoglycoprotein receptor 1	NP_001662.1	Cell surface receptor	
ASGR2	433	Asialoglycoprotein receptor 2	NP_550434.1	Cell surface receptor	
ASGR2	433	Asialoglycoprotein receptor 2	NP_550436.1	Cell surface receptor	
ASGR2	433	Asialoglycoprotein receptor 2	NP_550435.1	Cell surface receptor	
ASGR2	433	Asialoglycoprotein receptor 2	NP_001172.1	Cell surface receptor	
ASNS	440	Asparagine synthetase	NP_597680.2	Enzyme: Synthase	
ASNS	440	Asparagine synthetase	NP_001664.3	Enzyme: Synthase	
ASNS	440	Asparagine synthetase	NP_899199.2	Enzyme: Synthase	
NARS	4677	Asparaginyl tRNA synthetase	NP_004530.1	Enzyme: Ligase	
ACLY	47	ATP citrate lyase	NP_001087.2	ATPase	
ACLY	47	ATP citrate lyase	NP_942127.1	ATPase	
ATP5C1	509	"Mitochondrial ATP synthase, gamma subunit 1"	NP_001001973.1	Transport/cargo protein	
ATP5C1	509	"Mitochondrial ATP synthase, gamma subunit 1"	NP_005165.1	Transport/cargo protein	
ATP2A1	487	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1	NP_775293.1	ATPase	
ATP2A1	487	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1	NP_004311.1	ATPase	
ATP2B1	490	"Plasma membrane Ca(2+) ATPase, type 1"	NP_001673.2	ATPase	
ATP2B1	490	"Plasma membrane Ca(2+) ATPase, type 1"	NP_001001323.1	ATPase	
ATP2B4	493	Plasma membrane Ca(2+) ATPase type 4	NP_001675.3	ATPase	
ATP2B4	493	Plasma membrane Ca(2+) ATPase type 4	NP_001001396.1	ATPase	
ATP2B2	491	"Plasma membrane Ca(2+) ATPase, type 2"	NP_001001331.1	ATPase	
ATP2B2	491	"Plasma membrane Ca(2+) ATPase, type 2"	NP_001674.2	ATPase	
ATP2A2	488	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	NP_733765.1	Membrane transport protein	
ATP2A2	488	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	NP_001672.1	Membrane transport protein	
ATP2A2	488	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	NP_001129237.1	Membrane transport protein	
ATP6V0C	527	ATP6V0C	NP_001685.1	ATPase	
ATP6V1E1	529	ATP6V1E	NP_001687.1	ATPase	
ATP6V1E1	529	ATP6V1E	NP_001034455.1	ATPase	
ATP6V1E1	529	ATP6V1E	NP_001034456.1	ATPase	
NPPA	4878	Atrial natriuretic factor	NP_006163.1	Peptide hormone	
NPR1	4881	A/Guanylate cyclase A	NP_000897.3	Guanylate cyclase	
NPR2	4882	B/Guanylate cyclase B	NP_003986.2	Guanylate cyclase;Tyrosine kinase	
NPR2	4882	B/Guanylate cyclase B	NP_000898.1	Guanylate cyclase;Tyrosine kinase	
NPR3	4883	NPR-C	NP_000899.1	Cell surface receptor	
SSB	6741	Autoantigen La	NP_003133.1	RNA binding protein	
CALR	811	Calreticulin	NP_004334.1	Chaperone	
TRIM21	6737	Tripartite motif containing protein 21	NP_003132.2	Ribonucleoprotein	
AXL	558	AXL receptor tyrosine kinase	NP_068713.2	Receptor tyrosine kinase	
AXL	558	AXL receptor tyrosine kinase	NP_001690.2	Receptor tyrosine kinase	
LST1	7940	LST1	NP_009092.3	Cell surface receptor	
LST1	7940	LST1	NP_995309.2	Cell surface receptor	
LST1	7940	LST1	NP_995310.2	Cell surface receptor	
LST1	7940	LST1	NP_995311.2	Cell surface receptor	
LST1	7940	LST1	NP_995312.2	Cell surface receptor	
SLC1A5	6510	Sodium dependent neutral amino acid transporter type 2	NP_005619.1	Membrane transport protein	
SLC1A5	6510	Sodium dependent neutral amino acid transporter type 2	NP_001138616.1	Membrane transport protein	
SLC1A5	6510	Sodium dependent neutral amino acid transporter type 2	NP_001138617.1	Membrane transport protein	
BPI	671	BPI	NP_001716.2	Integral membrane protein	
SLC4A1	6521	"Solute carrier family 4, anion exchanger, member 1"	NP_000333.1	Membrane transport protein	
BSG	682	CD147	NP_001719.2	Cell surface receptor	
BSG	682	CD147	NP_940991.1	Cell surface receptor	
BSG	682	CD147	NP_940992.1	Cell surface receptor	
BSG	682	CD147	NP_940993.1	Cell surface receptor	
CD48	962	CD48 antigen	NP_001769.2	Cell surface receptor	
CD40	958	CD40	NP_001241.1	Cell surface receptor	
CD40	958	CD40	NP_690593.1	Cell surface receptor	
BCL3	602	Bcl 3	NP_005169.2	Transcription regulatory protein	
BCL6	604	B cell lymphoma 6 protein	NP_620309.1	Transcription factor	
BCL6	604	B cell lymphoma 6 protein	NP_001697.2	Transcription factor	
BCL6	604	B cell lymphoma 6 protein	NP_001124317.1	Transcription factor	
BCL6	604	B cell lymphoma 6 protein	NP_001128210.1	Transcription factor	
ADRB1	153	"Adrenergic receptor, Beta 1"	NP_000675.1	G protein coupled receptor	
ADRBK1	156	G protein dependent receptor kinase 2	NP_001610.2	Serine/threonine kinase	
ADRBK2	157	Beta adrenergic receptor kinase 2	NP_005151.2	Receptor serine/threonine kinase	
ST6GAL1	6480	Sialyltransferase 1	NP_775323.1	Enzyme: Sialyltransferase	
ST6GAL1	6480	Sialyltransferase 1	NP_003023.1	Enzyme: Sialyltransferase	
ST6GAL1	6480	Sialyltransferase 1	NP_775324.1	Enzyme: Sialyltransferase	
HSD17B1	3292	17-Beta hydroxysteroid dehydrogenase I	NP_000404.2	Enzyme: Dehydrogenase	
HSD17B2	3294	17-Beta-hydroxysteroid dehydrogenase II	NP_002144.1	Enzyme: Dehydrogenase	
ADRB2	154	Beta-2-adrenergic receptor	NP_000015.1	G protein coupled receptor	
ADRB3	155	Beta-3-adrenergic receptor	NP_000016.1	G protein coupled receptor	
B2M	567	Beta 2 microglobulin	NP_004039.1	MHC complex protein	
HTR1A	3350	"5-hydroxytryptamine receptor, 1A"	NP_000515.2	G protein coupled receptor	
CEACAM1	634	Carcinoembryonic antigen related cell adhesion molecule 1	NP_001703.2	Adhesion molecule	
CEACAM1	634	Carcinoembryonic antigen related cell adhesion molecule 1	NP_001020083.1	Adhesion molecule	
DARC	2532	CD234	NP_002027.2	Cell surface receptor	
DARC	2532	CD234	NP_001116423.1	Cell surface receptor	
GYPC	2995	Glycophorin C	NP_002092.1	Integral membrane protein	
GYPC	2995	Glycophorin C	NP_058131.1	Integral membrane protein	
KEL	3792	Kell blood group antigen	NP_000411.1	Metallo protease	
SLC14A1	6563	Solute carrier family 14 (urea transporter) member 1	NP_056949.2	Transport/cargo protein	
SLC14A1	6563	Solute carrier family 14 (urea transporter) member 1	NP_001122060.3	Transport/cargo protein	
FUT3	2525	Fucosyltransferase 3	NP_000140.1	Enzyme: Fucosyltransferase	
FUT3	2525	Fucosyltransferase 3	NP_001091108.1	Enzyme: Fucosyltransferase	
FUT3	2525	Fucosyltransferase 3	NP_001091109.1	Enzyme: Fucosyltransferase	
FUT3	2525	Fucosyltransferase 3	NP_001091110.1	Enzyme: Fucosyltransferase	
BCAM	4059	B cell adhesion molecule	NP_005572.2	Adhesion molecule	
BCAM	4059	B cell adhesion molecule	NP_001013275.1	Adhesion molecule	
ICAM4	3386	Intercellular adhesion molecule 4	NP_001535.1	Adhesion molecule	
